,,,業務,,觀光,,探親,,會議,,求學,,展覽,,醫療,,其他,,
,,,Business,,Leisure,,Visit Relatives,,Conference,,Study,,Exhibition,,Medical Treatment,,Others,,
年別,月份,居住地,男,女,男,女,男,女,男,女,男,女,男,女,男,女,男,女,小計
Years,Months,Residence,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Total
103,2,義大利(Italy),453,32,130,59,34,16,17,5,14,14,7,1,0,0,203,56,1041
103,2,荷蘭(Netherlands),522,36,244,163,47,35,1,2,34,11,2,1,0,0,252,139,1489
103,2,英國(U.K.),927,141,734,470,156,126,43,20,31,34,13,6,1,0,1420,1073,5195
103,2,西班牙(Spain),165,18,90,69,24,16,9,6,33,12,3,0,0,2,108,42,597
103,2,瑞典(Sweden),179,22,88,49,17,12,7,2,27,17,0,0,0,0,102,64,586
103,2,瑞士(Switzerland),217,20,110,72,25,18,6,1,17,7,1,2,0,0,101,39,636
103,2,挪威(Norway),39,2,29,28,6,1,1,0,6,2,0,0,1,0,51,19,185
103,2,丹麥(Denmark),76,11,23,25,18,8,2,0,7,9,0,0,0,0,43,17,239
103,2,愛爾蘭(Ireland),48,5,29,17,11,3,1,1,2,1,1,0,0,0,49,19,187
103,2,冰島(Iceland),7,0,2,0,0,0,0,0,0,1,0,0,0,0,1,1,12
103,2,葡萄牙(Portugal),34,7,91,114,14,12,3,1,5,2,1,2,1,0,80,73,440
103,2,芬蘭(Finland),88,8,31,33,10,4,1,0,13,14,2,0,0,0,36,22,262
103,2,奧地利(Austria),138,7,114,112,30,23,5,0,15,16,0,0,0,0,79,30,569
103,2,南斯拉夫(Yugoslavia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,希臘(Greece),33,1,10,8,0,0,1,0,1,0,1,0,0,0,57,1,113
103,2,馬爾他(Malta),3,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,9
103,2,盧森堡(Luxembourg),1,0,6,4,0,0,0,0,1,0,0,0,0,0,6,2,20
103,2,摩納哥(Monaco),2,0,1,5,0,0,0,0,0,0,0,0,0,0,1,0,9
103,2,安道爾(Andorra),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,2,列支敦斯登(Liechtenstein),1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2
103,2,白俄羅斯(Belarus),13,4,0,1,0,0,0,0,0,0,0,0,0,0,9,7,34
103,2,烏克蘭(Ukraine ),11,13,2,1,3,2,0,0,5,0,0,0,0,0,43,25,105
103,2,教廷(Holy See),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2,克羅埃西亞(Croatia),6,2,5,4,4,3,1,0,5,2,0,0,0,0,33,6,71
103,2,波士尼亞(Bosnia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
103,2,愛沙尼亞(Estonia),5,0,3,1,1,0,0,0,2,1,0,0,0,0,4,1,18
103,2,立陶宛(Lithuania),4,1,4,9,0,2,0,0,0,4,0,0,0,0,4,9,37
103,2,拉脫維亞(Latvia),5,0,2,4,0,0,2,1,3,0,0,0,0,0,12,4,33
103,2,馬其頓(Macedonia),0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,5
