Residence,Region,Sub-Region,Period,Business,Pleasure,Visit Relatives,Conference,Study,Exhibition,Medical Treatment,Others,Unstated
Unstated,,,2012-09,1,1,4,3,2,0,1,2979,0
Japan,Asia,,2012-09,24820,89009,3014,927,847,87,18,2737,0
S. Africa,Africa,,2012-10,110,35,68,9,5,1,0,29,0
"Others, Asia",Asia,,2012-10,231,109,151,61,42,22,13,322,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-10,31,346,198,26,9,0,28,562,0
Vietnam,Asia,Southeast Asia,2012-10,1120,510,1773,129,184,21,6,3199,0
Thailand,Asia,Southeast Asia,2012-10,2083,2574,719,297,100,61,12,2595,0
Philippines,Asia,Southeast Asia,2012-10,1547,2302,548,217,55,53,42,4025,0
Indonesia,Asia,Southeast Asia,2012-10,1608,2702,827,139,122,79,60,7457,0
Singapore,Asia,Southeast Asia,2012-10,4142,21018,1121,441,76,81,10,1668,0
Canada,America,,2012-10,997,3580,1267,140,42,13,7,316,0
HongKong. Macao,Asia,,2012-10,3174,12614,1154,254,39,21,9,54105,0
Japan,Asia,,2012-10,26490,84986,2476,1306,289,128,11,2310,0
Malaysia,Asia,Southeast Asia,2012-10,2097,23731,1460,378,261,100,33,1385,0
"Korea,Republic of",Asia,,2012-10,5006,12585,929,606,241,180,2,1290,0
India,Asia,,2012-10,960,144,165,263,34,44,0,359,0
"Others, Oceania",Oceania,,2012-10,34,21,7,8,8,1,0,19,0
"Others, Africa",Africa,,2012-10,187,35,32,56,42,14,2,110,0
Unstated,,,2012-10,2,4,6,1,0,0,0,4697,0
Mainland China,Asia,,2012-10,4056,170525,4516,153,93,284,7347,37898,0
United States of America,America,,2012-10,11176,10069,9803,789,187,51,26,2163,0
Middle East,Asia,,2012-10,678,177,63,76,31,30,3,148,0
Brazil,America,,2012-10,167,79,45,22,4,4,0,45,0
Mexico,America,,2012-10,117,41,25,14,6,19,0,21,0
Russian Federation,Europe,,2012-10,378,98,36,41,12,12,2,230,0
Greece,Europe,,2012-10,50,13,4,20,0,2,0,32,0
Austria,Europe,,2012-10,217,173,61,26,8,4,0,47,0
United Kingdom,Europe,,2012-10,1616,1365,404,159,27,21,2,228,0
Spain,Europe,,2012-10,236,146,50,28,15,13,1,66,0
Australia,Oceania,,2012-10,1113,2785,916,239,23,57,3,349,0
New Zealand,Oceania,,2012-10,252,337,226,34,18,15,0,75,0
Sweden,Europe,,2012-10,336,169,83,13,18,4,0,29,0
Netherlands,Europe,,2012-10,658,557,150,43,23,2,1,144,0
Argentina,America,,2012-10,27,28,15,8,2,6,0,26,0
Switzerland,Europe,,2012-10,336,218,84,31,12,5,0,38,0
"Others, America",America,,2012-10,198,125,95,78,87,36,0,195,0
Belgium,Europe,,2012-10,214,156,50,25,7,5,0,32,0
France,Europe,,2012-10,1127,758,395,110,71,23,1,218,0
"Others, Europe",Europe,,2012-10,1074,841,181,137,54,88,2,524,0
Italy,Europe,,2012-10,724,180,69,78,26,25,0,93,0
Germany,Europe,,2012-10,2258,1314,366,149,84,36,1,332,0
Brazil,America,,2012-11,119,70,27,38,3,2,0,48,0
Mexico,America,,2012-11,93,53,14,59,6,3,0,41,0
United States of America,America,,2012-11,10609,10602,12342,914,210,45,25,2296,0
Canada,America,,2012-11,1098,3983,1412,122,46,13,7,355,0
"Others, Asia",Asia,,2012-11,242,177,211,127,62,5,9,358,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-11,46,165,132,18,5,5,25,257,0
Vietnam,Asia,Southeast Asia,2012-11,1040,610,1579,160,146,3,16,3274,0
Thailand,Asia,Southeast Asia,2012-11,1833,2443,651,328,118,33,5,2283,0
HongKong. Macao,Asia,,2012-11,3197,12820,1051,302,20,26,11,57359,0
Singapore,Asia,Southeast Asia,2012-11,3918,33941,1629,458,221,48,7,2323,0
Mainland China,Asia,,2012-11,4517,188565,4321,593,90,138,10732,34011,0
Middle East,Asia,,2012-11,669,147,58,184,10,14,0,81,0
India,Asia,,2012-11,875,117,194,202,30,9,1,599,0
"Korea,Republic of",Asia,,2012-11,5052,14368,971,810,242,98,2,1458,0
Japan,Asia,,2012-11,26177,92603,2599,1418,412,63,16,2660,0
Argentina,America,,2012-11,30,14,10,19,3,1,0,44,0
Indonesia,Asia,Southeast Asia,2012-11,1616,3264,755,198,120,43,49,7397,0
Malaysia,Asia,Southeast Asia,2012-11,1994,35360,2063,599,271,70,28,1857,0
Philippines,Asia,Southeast Asia,2012-11,1684,2090,457,455,28,45,26,3894,0
France,Europe,,2012-11,1233,809,371,138,168,28,0,463,0
Belgium,Europe,,2012-11,245,127,41,36,19,4,0,80,0
"Others, Africa",Africa,,2012-11,199,46,36,156,12,2,1,82,0
Unstated,,,2012-11,1,1,4,0,1,0,0,2869,0
S. Africa,Africa,,2012-11,121,44,65,26,4,1,0,23,0
"Others, Oceania",Oceania,,2012-11,18,26,3,18,12,0,3,19,0
New Zealand,Oceania,,2012-11,255,344,245,64,11,2,0,77,0
Australia,Oceania,,2012-11,1170,2668,977,220,65,14,10,300,0
"Others, Europe",Europe,,2012-11,1075,940,185,337,75,38,2,745,0
Russian Federation,Europe,,2012-11,284,82,38,65,17,10,0,195,0
"Others, America",America,,2012-11,158,105,112,132,36,13,3,164,0
Greece,Europe,,2012-11,55,11,7,10,0,2,0,35,0
Austria,Europe,,2012-11,231,202,62,39,18,5,1,47,0
United Kingdom,Europe,,2012-11,1788,1453,396,225,23,32,4,278,0
Spain,Europe,,2012-11,302,147,51,45,24,14,0,108,0
Switzerland,Europe,,2012-11,408,223,55,37,16,9,0,208,0
Sweden,Europe,,2012-11,342,161,54,37,35,6,0,87,0
Netherlands,Europe,,2012-11,684,503,106,54,31,6,2,196,0
Italy,Europe,,2012-11,873,215,78,99,37,25,0,276,0
Germany,Europe,,2012-11,2466,955,276,191,104,22,0,395,0
"Others, America",America,,2012-12,102,99,95,15,62,3,0,62,0
Argentina,America,,2012-12,18,16,33,0,1,0,0,26,0
Brazil,America,,2012-12,91,123,73,5,12,1,0,28,0
Mexico,America,,2012-12,51,54,25,3,9,0,0,27,0
United States of America,America,,2012-12,8418,11662,16646,455,248,17,30,2251,0
Canada,America,,2012-12,740,3866,1870,72,41,5,5,323,0
Thailand,Asia,Southeast Asia,2012-12,1708,4153,897,103,119,38,4,1655,0
"Others, Southeast Asia",Asia,Southeast Asia,2012-12,58,367,132,12,37,2,32,287,0
Vietnam,Asia,Southeast Asia,2012-12,1093,580,1553,60,139,0,16,3141,0
Belgium,Europe,,2012-12,125,96,47,8,11,0,0,14,0
Philippines,Asia,Southeast Asia,2012-12,1320,3262,795,103,28,7,28,3870,0
Indonesia,Asia,Southeast Asia,2012-12,1556,5255,993,107,252,14,35,8305,0
Singapore,Asia,Southeast Asia,2012-12,2856,53595,1906,273,121,23,6,1551,0
Malaysia,Asia,Southeast Asia,2012-12,1651,40072,1948,348,239,14,23,1386,0
Middle East,Asia,,2012-12,524,184,75,45,11,3,0,63,0
"Others, Asia",Asia,,2012-12,180,292,324,49,42,7,12,211,0
France,Europe,,2012-12,756,862,505,57,154,18,2,208,0
Spain,Europe,,2012-12,117,162,62,15,18,3,0,39,0
Italy,Europe,,2012-12,414,215,127,31,26,1,1,88,0
Japan,Asia,,2012-12,24403,87733,3946,944,372,49,9,2568,0
Mainland China,Asia,,2012-12,3923,174349,4723,201,89,182,10755,33953,0
HongKong. Macao,Asia,,2012-12,4115,50458,2630,307,67,17,27,40388,0
Unstated,,,2012-12,1,5,10,0,1,0,1,5056,0
"Others, Africa",Africa,,2012-12,117,36,41,24,11,2,0,37,0
S. Africa,Africa,,2012-12,78,137,176,10,11,0,0,84,0
"Others, Oceania",Oceania,,2012-12,12,24,12,2,7,0,4,17,0
Germany,Europe,,2012-12,1243,1349,422,89,101,8,1,280,0
New Zealand,Oceania,,2012-12,156,747,492,24,9,1,1,58,0
"Others, Europe",Europe,,2012-12,606,1195,205,117,81,16,0,341,0
Sweden,Europe,,2012-12,191,215,107,17,40,0,0,42,0
Greece,Europe,,2012-12,45,21,5,2,0,0,0,28,0
Austria,Europe,,2012-12,100,116,84,10,19,0,0,32,0
United Kingdom,Europe,,2012-12,924,1423,606,60,13,2,1,133,0
Switzerland,Europe,,2012-12,216,187,118,10,16,0,0,28,0
Netherlands,Europe,,2012-12,434,499,137,15,44,3,0,214,0
Australia,Oceania,,2012-12,716,5172,1708,94,57,7,6,371,0
Russian Federation,Europe,,2012-12,219,86,37,45,28,0,0,129,0
"Korea,Republic of",Asia,,2012-12,4355,16363,1234,535,264,87,5,1582,0
India,Asia,,2012-12,824,142,191,100,30,6,1,356,0
HongKong. Macao,Asia,,2013-01,7221,42403,2075,852,132,16,37,3914,0
Germany,Europe,,2013-01,1746,931,310,52,93,11,0,287,0
Italy,Europe,,2013-01,547,154,67,22,21,5,0,99,0
Netherlands,Europe,,2013-01,596,377,110,15,31,2,0,175,0
Switzerland,Europe,,2013-01,257,126,71,11,7,3,0,33,0
Spain,Europe,,2013-01,197,100,53,12,41,1,0,38,0
United Kingdom,Europe,,2013-01,1389,851,406,45,20,9,2,147,0
Austria,Europe,,2013-01,158,172,58,5,11,0,0,38,0
Sweden,Europe,,2013-01,262,133,99,15,23,0,0,38,0
Russian Federation,Europe,,2013-01,209,110,32,14,11,0,0,64,0
"Others, Europe",Europe,,2013-01,794,582,174,36,61,12,1,297,0
Australia,Oceania,,2013-01,850,3838,1431,97,38,10,4,336,0
New Zealand,Oceania,,2013-01,151,451,230,6,6,7,1,59,0
"Others, Oceania",Oceania,,2013-01,9,20,7,0,2,0,0,14,0
S. Africa,Africa,,2013-01,134,27,118,3,8,1,0,25,0
"Others, Africa",Africa,,2013-01,132,15,31,11,13,15,0,41,0
Unstated,,,2013-01,2,0,3,0,0,0,0,3856,0
France,Europe,,2013-01,975,425,421,42,149,15,0,190,0
Belgium,Europe,,2013-01,176,55,38,10,8,9,0,20,0
Greece,Europe,,2013-01,46,6,4,1,0,0,0,26,0
Argentina,America,,2013-01,14,23,35,3,2,1,0,25,0
Mainland China,Asia,,2013-01,6886,150802,5327,92,59,24,7752,24446,0
"Others, America",America,,2013-01,114,107,110,8,154,2,0,101,0
Japan,Asia,,2013-01,26016,75819,3514,752,334,38,15,2384,0
"Korea,Republic of",Asia,,2013-01,5247,21699,1184,365,352,56,5,2221,0
India,Asia,,2013-01,932,93,178,149,28,6,0,324,0
Middle East,Asia,,2013-01,604,111,74,33,9,9,0,124,0
Singapore,Asia,Southeast Asia,2013-01,4450,13779,1016,292,57,23,7,1022,0
Indonesia,Asia,Southeast Asia,2013-01,1923,1458,710,70,102,11,37,8056,0
Philippines,Asia,Southeast Asia,2013-01,2728,1259,668,135,40,9,27,3218,0
Malaysia,Asia,Southeast Asia,2013-01,1892,12644,1254,214,247,21,30,730,0
Vietnam,Asia,Southeast Asia,2013-01,1057,276,1310,36,71,4,11,2378,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-01,65,97,107,8,7,3,12,177,0
"Others, Asia",Asia,,2013-01,140,33,55,21,27,6,19,189,0
Canada,America,,2013-01,881,2468,1324,44,36,9,4,354,0
United States of America,America,,2013-01,10711,7119,8826,355,331,34,24,2303,0
Mexico,America,,2013-01,61,37,22,4,9,6,0,18,0
Brazil,America,,2013-01,87,97,87,3,20,2,0,58,0
Thailand,Asia,Southeast Asia,2013-01,1599,1673,643,98,59,14,3,526,0
Germany,Europe,,2013-02,1191,830,486,19,164,8,0,213,0
Austria,Europe,,2013-02,114,134,66,1,28,1,0,29,0
Italy,Europe,,2013-02,360,160,104,6,36,0,1,84,0
Netherlands,Europe,,2013-02,400,327,183,6,48,1,0,193,0
Switzerland,Europe,,2013-02,200,165,112,3,26,0,0,23,0
Spain,Europe,,2013-02,122,117,71,3,56,1,1,53,0
United Kingdom,Europe,,2013-02,1121,989,644,42,41,6,1,124,0
Greece,Europe,,2013-02,39,16,3,0,0,0,0,31,0
Unstated,,,2013-02,1,5,10,0,0,0,0,4201,0
Russian Federation,Europe,,2013-02,162,49,41,2,80,2,0,58,0
"Others, Europe",Europe,,2013-02,545,607,239,20,243,7,0,245,0
Australia,Oceania,,2013-02,651,2005,1136,56,43,6,1,272,0
New Zealand,Oceania,,2013-02,154,236,303,4,12,0,1,58,0
"Others, Oceania",Oceania,,2013-02,8,9,6,0,20,0,3,8,0
S. Africa,Africa,,2013-02,227,42,141,0,12,0,0,35,0
"Others, Africa",Africa,,2013-02,76,13,50,3,62,0,0,29,0
France,Europe,,2013-02,675,620,585,16,365,13,2,203,0
Sweden,Europe,,2013-02,168,93,73,3,44,0,0,21,0
Belgium,Europe,,2013-02,116,67,53,2,18,0,0,13,0
"Others, America",America,,2013-02,93,95,114,2,398,1,0,134,0
HongKong. Macao,Asia,,2013-02,4191,65592,8540,403,370,6,27,4658,0
Argentina,America,,2013-02,11,15,20,2,4,0,0,18,0
Mainland China,Asia,,2013-02,2395,169533,5800,161,1723,22,5039,31348,0
Japan,Asia,,2013-02,20796,73958,5175,444,1038,19,7,2144,0
"Korea,Republic of",Asia,,2013-02,3613,16362,1502,160,741,36,3,1712,0
India,Asia,,2013-02,683,51,267,39,156,1,1,315,0
Malaysia,Asia,Southeast Asia,2013-02,1732,16044,2861,117,7456,12,19,823,0
Singapore,Asia,Southeast Asia,2013-02,2431,11088,1770,127,224,9,1,1281,0
Indonesia,Asia,Southeast Asia,2013-02,1488,1523,927,31,1188,2,44,7128,0
Middle East,Asia,,2013-02,370,107,83,5,38,3,1,44,0
Thailand,Asia,Southeast Asia,2013-02,1923,1778,1044,46,332,1,5,1715,0
Vietnam,Asia,Southeast Asia,2013-02,2382,869,2499,9,1225,7,9,2566,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-02,27,214,122,5,68,0,19,230,0
"Others, Asia",Asia,,2013-02,103,149,138,6,264,3,4,196,0
Canada,America,,2013-02,820,2363,1840,23,100,2,2,279,0
United States of America,America,,2013-02,7369,6202,11511,215,452,11,17,1930,0
Mexico,America,,2013-02,40,24,21,3,26,0,0,6,0
Philippines,Asia,Southeast Asia,2013-02,1772,1275,774,65,148,2,22,3197,0
Brazil,America,,2013-02,60,52,61,3,13,0,0,31,0
Vietnam,Asia,Southeast Asia,2013-03,1649,511,2846,50,517,41,16,4418,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-03,55,221,141,8,16,2,30,234,0
"Others, Asia",Asia,,2013-03,284,112,149,47,74,41,8,216,0
Mexico,America,,2013-03,127,52,19,6,8,12,0,31,0
United States of America,America,,2013-03,13083,9340,11829,511,343,123,27,2344,0
Mainland China,Asia,,2013-03,4111,223627,4497,135,157,817,7858,28253,0
Canada,America,,2013-03,1127,3260,1854,76,39,36,5,331,0
Japan,Asia,,2013-03,28448,112766,3777,997,596,181,11,3048,0
"Korea,Republic of",Asia,,2013-03,5913,14844,987,361,194,257,4,1692,0
India,Asia,,2013-03,1344,122,217,100,49,136,0,432,0
Middle East,Asia,,2013-03,981,166,85,44,48,102,2,93,0
Malaysia,Asia,Southeast Asia,2013-03,2263,27500,1512,295,598,403,68,1102,0
Singapore,Asia,Southeast Asia,2013-03,4435,26321,1324,361,154,192,10,1851,0
Indonesia,Asia,Southeast Asia,2013-03,1758,2850,884,68,243,210,37,7629,0
Philippines,Asia,Southeast Asia,2013-03,1876,3466,627,145,44,75,41,4085,0
Thailand,Asia,Southeast Asia,2013-03,2149,3547,904,129,363,252,18,1713,0
Brazil,America,,2013-03,256,59,47,12,3,30,0,32,0
HongKong. Macao,Asia,,2013-03,7194,99368,3176,585,226,28,70,2796,0
Argentina,America,,2013-03,46,15,10,0,5,8,0,12,0
Germany,Europe,,2013-03,2633,1398,457,101,113,73,2,350,0
Belgium,Europe,,2013-03,278,107,60,15,9,9,0,28,0
Unstated,,,2013-03,1,12,14,0,0,0,1,8375,0
"Others, Africa",Africa,,2013-03,195,42,34,29,38,30,1,75,0
"Others, America",America,,2013-03,233,118,87,21,85,24,1,84,0
"Others, Oceania",Oceania,,2013-03,22,13,2,4,9,1,4,9,0
New Zealand,Oceania,,2013-03,293,304,240,13,9,18,0,76,0
Australia,Oceania,,2013-03,1320,2887,1241,154,26,117,11,288,0
"Others, Europe",Europe,,2013-03,1363,996,226,104,79,191,3,436,0
Russian Federation,Europe,,2013-03,372,95,31,21,34,92,0,85,0
Sweden,Europe,,2013-03,394,190,82,19,20,13,0,30,0
S. Africa,Africa,,2013-03,174,48,78,9,6,26,0,22,0
Austria,Europe,,2013-03,247,184,81,7,4,2,0,30,0
United Kingdom,Europe,,2013-03,1907,1423,628,79,26,65,3,196,0
Spain,Europe,,2013-03,384,161,75,12,14,22,0,70,0
Switzerland,Europe,,2013-03,442,228,91,15,16,23,0,34,0
Netherlands,Europe,,2013-03,810,398,120,14,13,28,0,148,0
Italy,Europe,,2013-03,990,198,82,45,29,84,1,113,0
France,Europe,,2013-03,1350,691,453,67,85,50,0,220,0
Greece,Europe,,2013-03,96,8,5,1,1,0,0,30,0
Vietnam,Asia,Southeast Asia,2013-04,1357,859,2203,105,133,13,8,4678,0
Thailand,Asia,Southeast Asia,2013-04,2591,5505,1350,326,257,98,2,2581,0
Philippines,Asia,Southeast Asia,2013-04,2180,2415,926,218,256,63,44,4408,0
Indonesia,Asia,Southeast Asia,2013-04,1957,2045,770,178,267,156,65,7540,0
Singapore,Asia,Southeast Asia,2013-04,4363,20845,1165,333,87,145,10,3505,0
"Korea,Republic of",Asia,,2013-04,5449,13692,1053,397,182,162,4,1393,0
Middle East,Asia,,2013-04,949,166,72,89,21,78,83,135,0
India,Asia,,2013-04,1059,106,189,152,24,60,7,390,0
Japan,Asia,,2013-04,25970,69698,3638,686,303,106,14,2327,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-04,110,147,191,21,18,3,128,388,0
Mainland China,Asia,,2013-04,3679,247282,4429,284,343,434,12669,28939,0
HongKong. Macao,Asia,,2013-04,6696,71507,2628,668,181,19,158,2277,0
Malaysia,Asia,Southeast Asia,2013-04,2376,23673,1567,343,327,246,39,1014,0
"Others, Asia",Asia,,2013-04,261,74,76,22,40,74,10,138,0
Belgium,Europe,,2013-04,199,139,48,10,6,2,0,22,0
United States of America,America,,2013-04,11043,8811,11040,461,271,48,40,1894,0
Unstated,,,2013-04,0,2,4,0,0,0,18,6968,0
S. Africa,Africa,,2013-04,155,36,74,8,4,7,0,14,0
"Others, Oceania",Oceania,,2013-04,28,16,6,7,4,1,2,10,0
New Zealand,Oceania,,2013-04,221,353,241,21,8,6,1,55,0
Australia,Oceania,,2013-04,1154,2734,1054,156,16,53,3,311,0
"Others, Europe",Europe,,2013-04,1024,744,185,84,90,76,3,351,0
Russian Federation,Europe,,2013-04,380,116,33,37,18,59,0,90,0
Sweden,Europe,,2013-04,390,147,66,14,14,2,0,33,0
Greece,Europe,,2013-04,62,14,4,2,0,4,0,31,0
Austria,Europe,,2013-04,168,108,72,8,15,1,0,28,0
United Kingdom,Europe,,2013-04,1505,1079,451,109,33,13,1,151,0
Spain,Europe,,2013-04,260,134,47,25,26,10,0,59,0
Switzerland,Europe,,2013-04,340,202,104,12,14,2,0,17,0
Netherlands,Europe,,2013-04,624,396,181,12,24,13,0,107,0
Italy,Europe,,2013-04,646,176,69,42,22,15,5,90,0
Germany,Europe,,2013-04,2049,1053,335,64,67,19,2,284,0
France,Europe,,2013-04,1015,797,514,72,172,17,1,220,0
"Others, America",America,,2013-04,248,81,97,34,89,12,0,126,0
Argentina,America,,2013-04,32,17,10,6,5,6,0,18,0
Brazil,America,,2013-04,160,83,42,10,7,9,0,31,0
Mexico,America,,2013-04,100,41,41,13,5,13,0,22,0
Canada,America,,2013-04,1025,2757,1371,61,50,17,7,279,0
"Others, Africa",Africa,,2013-04,266,14,41,37,34,35,1,53,0
Japan,Asia,,2013-05,25674,72135,2586,772,371,42,10,2214,0
"Others, Oceania",Oceania,,2013-05,16,15,13,5,4,0,8,23,0
Mexico,America,,2013-05,82,28,17,11,6,7,0,11,0
United States of America,America,,2013-05,10238,8603,11524,580,417,35,33,2317,0
Canada,America,,2013-05,903,3147,1275,65,61,3,6,308,0
"Others, Asia",Asia,,2013-05,147,47,47,21,25,2,11,180,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-05,98,76,123,6,4,1,22,215,0
Vietnam,Asia,Southeast Asia,2013-05,1179,442,2083,66,116,2,13,5139,0
Brazil,America,,2013-05,93,55,51,14,14,0,0,24,0
Thailand,Asia,Southeast Asia,2013-05,2249,3664,902,189,76,23,9,2639,0
Indonesia,Asia,Southeast Asia,2013-05,1615,2370,754,94,127,16,52,8165,0
Singapore,Asia,Southeast Asia,2013-05,4313,21593,1153,361,114,25,16,1995,0
Malaysia,Asia,Southeast Asia,2013-05,1938,27495,1916,308,508,53,52,1225,0
Middle East,Asia,,2013-05,686,114,58,36,17,7,8,101,0
India,Asia,,2013-05,994,125,235,143,74,4,3,413,0
"Korea,Republic of",Asia,,2013-05,5462,14588,1024,479,227,54,1,1319,0
Philippines,Asia,Southeast Asia,2013-05,1819,1643,715,80,42,6,28,4197,0
Argentina,America,,2013-05,24,12,7,1,5,0,0,5,0
"Others, America",America,,2013-05,192,84,90,50,77,11,0,101,0
Mainland China,Asia,,2013-05,3927,165815,3847,244,104,83,9595,33645,0
New Zealand,Oceania,,2013-05,170,276,168,19,5,1,0,51,0
Australia,Oceania,,2013-05,1010,1978,834,132,11,14,5,252,0
"Others, Europe",Europe,,2013-05,728,703,138,98,80,4,0,317,0
Russian Federation,Europe,,2013-05,214,78,37,55,17,5,0,53,0
HongKong. Macao,Asia,,2013-05,6879,84043,2614,718,247,13,84,2103,0
Sweden,Europe,,2013-05,273,138,38,8,23,0,0,37,0
Greece,Europe,,2013-05,29,14,6,2,2,0,0,12,0
Austria,Europe,,2013-05,146,112,50,19,12,2,0,24,0
United Kingdom,Europe,,2013-05,1367,1132,346,73,24,11,0,127,0
Spain,Europe,,2013-05,189,138,31,24,24,4,0,33,0
Switzerland,Europe,,2013-05,262,205,61,15,20,1,0,30,0
Netherlands,Europe,,2013-05,582,328,130,23,18,0,0,90,0
Italy,Europe,,2013-05,567,156,68,42,17,13,2,81,0
Germany,Europe,,2013-05,1645,939,291,78,79,4,0,242,0
France,Europe,,2013-05,810,597,348,60,134,11,1,224,0
S. Africa,Africa,,2013-05,100,39,60,1,5,0,0,18,0
Belgium,Europe,,2013-05,161,88,41,10,10,1,0,19,0
Unstated,,,2013-05,3,5,3,1,0,0,3,7754,0
"Others, Africa",Africa,,2013-05,145,19,34,15,17,1,1,80,0
Mainland China,Asia,,2013-06,4730,168113,4591,177,69,1068,9935,32211,0
Italy,Europe,,2013-06,720,153,121,37,23,41,0,91,0
Netherlands,Europe,,2013-06,670,338,123,23,55,25,0,88,0
Switzerland,Europe,,2013-06,322,153,76,14,10,5,1,16,0
Spain,Europe,,2013-06,274,126,71,21,36,27,0,44,0
United Kingdom,Europe,,2013-06,1524,1138,398,83,54,47,4,241,0
Austria,Europe,,2013-06,163,68,62,13,9,4,0,13,0
Greece,Europe,,2013-06,53,13,8,3,0,5,0,30,0
Sweden,Europe,,2013-06,227,206,110,13,20,11,0,38,0
Russian Federation,Europe,,2013-06,436,88,52,50,38,197,0,62,0
"Others, Europe",Europe,,2013-06,1005,874,219,96,100,201,2,312,0
Australia,Oceania,,2013-06,1046,2153,1004,149,44,97,8,305,0
"Others, Oceania",Oceania,,2013-06,20,12,13,6,10,2,21,25,0
S. Africa,Africa,,2013-06,137,68,97,11,1,12,0,27,0
"Others, Africa",Africa,,2013-06,244,18,46,24,25,46,0,46,0
Unstated,,,2013-06,2,4,5,0,0,0,1,6409,0
HongKong. Macao,Asia,,2013-06,6966,109404,3398,636,381,57,51,2900,0
Germany,Europe,,2013-06,2182,700,304,67,56,75,1,190,0
France,Europe,,2013-06,1139,577,444,60,221,59,0,182,0
New Zealand,Oceania,,2013-06,220,264,196,23,10,7,1,50,0
"Others, America",America,,2013-06,181,99,127,29,95,45,0,111,0
"Korea,Republic of",Asia,,2013-06,5729,12006,1075,387,287,406,2,1273,0
India,Asia,,2013-06,1244,125,182,119,42,163,0,458,0
Middle East,Asia,,2013-06,969,156,78,47,24,135,1,133,0
Malaysia,Asia,Southeast Asia,2013-06,2362,17398,1767,412,420,358,37,927,0
Singapore,Asia,Southeast Asia,2013-06,3984,24146,1721,306,153,248,5,1418,0
Belgium,Europe,,2013-06,200,81,62,9,12,5,0,27,0
Indonesia,Asia,Southeast Asia,2013-06,1941,3526,1351,81,485,212,58,8180,0
Philippines,Asia,Southeast Asia,2013-06,1371,963,488,78,20,81,32,1426,0
Japan,Asia,,2013-06,27818,57981,2638,723,363,238,10,2012,0
Vietnam,Asia,Southeast Asia,2013-06,1369,562,2623,38,123,34,29,6741,0
"Others, Southeast Asia",Asia,Southeast Asia,2013-06,71,155,136,4,11,12,23,302,0
"Others, Asia",Asia,,2013-06,195,33,48,25,32,58,15,171,0
Canada,America,,2013-06,942,2353,1305,66,67,33,5,241,0
United States of America,America,,2013-06,10680,9573,15353,562,847,158,29,2341,0
Mexico,America,,2013-06,76,58,16,5,14,12,0,20,0
Brazil,America,,2013-06,176,71,45,19,6,33,0,33,0
Argentina,America,,2013-06,42,11,8,5,1,14,0,9,0
Thailand,Asia,Southeast Asia,2013-06,2261,3188,712,171,118,235,11,3133,0
Austria,Europe,,2013-07,152,185,128,9,21,0,0,41,0
United Kingdom,Europe,,2013-07,1317,1312,609,57,29,10,3,180,0
Italy,Europe,,2013-07,596,193,129,42,49,6,0,149,0
Switzerland,Europe,,2013-07,215,250,169,18,18,5,0,35,0
Netherlands,Europe,,2013-07,465,540,179,12,18,0,1,141,0
Greece,Europe,,2013-07,41,4,14,1,2,0,0,31,0
Spain,Europe,,2013-07,189,167,112,23,24,6,3,70,0
Sweden,Europe,,2013-07,154,182,82,14,10,0,0,47,0
New Zealand,Oceania,,2013-07,186,319,206,14,12,5,0,79,0
"Others, Europe",Europe,,2013-07,567,920,215,127,115,10,3,535,0
Australia,Oceania,,2013-07,866,2012,817,171,32,4,0,249,0
"Others, Oceania",Oceania,,2013-07,20,23,6,2,3,0,4,35,0
S. Africa,Africa,,2013-07,139,41,113,6,3,0,0,21,0
"Others, Africa",Africa,,2013-07,105,30,40,24,35,0,2,94,0
Unstated,,,2013-07,2,5,15,0,0,0,0,5853,0
Germany,Europe,,2013-07,1661,1067,469,119,152,4,1,272,0
Russian Federation,Europe,,2013-07,252,77,52,43,29,3,0,164,0
Belgium,Europe,,2013-07,133,177,72,10,11,1,0,27,0
France,Europe,,2013-07,905,889,709,74,141,17,3,318,0
Mainland China,Asia,,2013-07,3555,193843,6776,112,134,83,7008,37172,0
HongKong. Macao,Asia,,2013-07,6807,93755,3393,594,349,2,50,2760,0
"Others, America",America,,2013-07,90,57,91,44,111,2,1,186,0
Japan,Asia,,2013-07,26762,66519,3433,942,391,61,11,2064,0
"Korea,Republic of",Asia,,2013-07,4865,14236,1489,400,375,52,6,1602,0
India,Asia,,2013-07,898,85,232,101,38,3,3,355,0
Middle East,Asia,,2013-07,619,168,91,35,30,2,2,172,0
Singapore,Asia,Southeast Asia,2013-07,4050,12554,1198,334,61,18,8,1241,0
Indonesia,Asia,Southeast Asia,2013-07,1705,1838,886,74,266,13,63,10281,0
Philippines,Asia,Southeast Asia,2013-07,1514,847,491,69,47,4,28,3452,0
Malaysia,Asia,Southeast Asia,2013-07,2023,14928,1891,390,600,24,40,869,0
Vietnam,Asia,Southeast Asia,2013-07,1444,798,2451,52,220,3,17,6103,0
Argentina,America,,2013-07,21,17,7,3,1,0,0,7,0
Thailand,Asia,Southeast Asia,2013-07,1973,1859,735,188,166,11,13,2568,0
Mexico,America,,2013-07,63,39,28,5,17,1,1,65,0
